   0: pushed    0; [ 0 ]
   1: pushed    1; [ 0 1 ]
   2: pushed    2; [ 0 1 2 ]
   3: pushed    3; [ 0 1 2 3 ]
   4: pushed    4; [ 0 1 2 3 4 ]
   5: pushed    5; [ 0 1 2 3 4 5 ]
   6: pushed    6; [ 0 1 2 3 4 5 6 ]
   7: pushed    7; [ 0 1 2 3 4 5 6 7 ]
   8: pushed    8; [ 0 1 2 3 4 5 6 7 8 ]
   9: popped    0; [ 1 2 3 4 5 6 7 8 ]
  10: popped    1; [ 2 3 4 5 6 7 8 ]
  11: pushed   11; [ 2 3 4 5 6 7 8 11 ]
  12: popped    2; [ 3 4 5 6 7 8 11 ]
  13: popped    3; [ 4 5 6 7 8 11 ]
  14: pushed   14; [ 4 5 6 7 8 11 14 ]
  15: pushed   15; [ 4 5 6 7 8 11 14 15 ]
  16: pushed   16; [ 4 5 6 7 8 11 14 15 16 ]
  17: pushed   17; [ 4 5 6 7 8 11 14 15 16 17 ]
  18: pushed   18; [ 4 5 6 7 8 11 14 15 16 17 18 ]
  19: pushed   19; [ 4 5 6 7 8 11 14 15 16 17 18 19 ]
  20: pushed   20; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 ]
  21: pushed   21; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 ]
  22: pushed   22; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 ]
  23: pushed   23; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 ]
  24: pushed   24; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 ]
  25: pushed   25; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 ]
  26: pushed   26; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 ]
  27: pushed   27; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 ]
  28: pushed   28; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 ]
  29: pushed   29; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 ]
  30: pushed   30; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 ]
  31: pushed   31; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 ]
  32: pushed   32; [ 4 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 ]
  33: popped    4; [ 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 ]
  34: pushed   34; [ 5 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 ]
