   0: pushed    0; [ 0 ]
   1: pushed    1; [ 0 1 ]
   2: pushed    2; [ 0 1 2 ]
   3: pushed    3; [ 0 1 2 3 ]
   4: pushed    4; [ 0 1 2 3 4 ]
   5: pushed    5; [ 0 1 2 3 4 5 ]
   6: pushed    6; [ 0 1 2 3 4 5 6 ]
   7: pushed    7; [ 0 1 2 3 4 5 6 7 ]
   8: pushed    8; [ 0 1 2 3 4 5 6 7 8 ]
   9: popped    8; [ 0 1 2 3 4 5 6 7 ]
  10: popped    7; [ 0 1 2 3 4 5 6 ]
  11: pushed   11; [ 0 1 2 3 4 5 6 11 ]
  12: popped   11; [ 0 1 2 3 4 5 6 ]
  13: popped    6; [ 0 1 2 3 4 5 ]
  14: pushed   14; [ 0 1 2 3 4 5 14 ]
  15: pushed   15; [ 0 1 2 3 4 5 14 15 ]
  16: pushed   16; [ 0 1 2 3 4 5 14 15 16 ]
  17: pushed   17; [ 0 1 2 3 4 5 14 15 16 17 ]
  18: pushed   18; [ 0 1 2 3 4 5 14 15 16 17 18 ]
  19: pushed   19; [ 0 1 2 3 4 5 14 15 16 17 18 19 ]
  20: pushed   20; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 ]
  21: pushed   21; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 ]
  22: pushed   22; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 ]
  23: pushed   23; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 ]
  24: pushed   24; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 ]
  25: pushed   25; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 ]
  26: pushed   26; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 ]
  27: pushed   27; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 ]
  28: pushed   28; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 ]
  29: pushed   29; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 ]
  30: pushed   30; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 ]
  31: pushed   31; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 ]
  32: pushed   32; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 ]
  33: popped   32; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 ]
  34: pushed   34; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 34 ]
