   0: pushed    0; [ 0 ]
   1: pushed    1; [ 1 0 ]
   2: pushed    2; [ 2 1 0 ]
   3: pushed    3; [ 3 2 1 0 ]
   4: pushed    4; [ 4 3 2 1 0 ]
   5: pushed    5; [ 5 4 3 2 1 0 ]
   6: pushed    6; [ 6 5 4 3 2 1 0 ]
   7: pushed    7; [ 7 6 5 4 3 2 1 0 ]
   8: pushed    8; [ 8 7 6 5 4 3 2 1 0 ]
   9: popped    0; [ 8 7 6 5 4 3 2 1 ]
  10: popped    1; [ 8 7 6 5 4 3 2 ]
  11: pushed   11; [ 11 8 7 6 5 4 3 2 ]
  12: popped    2; [ 11 8 7 6 5 4 3 ]
  13: popped    3; [ 11 8 7 6 5 4 ]
  14: pushed   14; [ 14 11 8 7 6 5 4 ]
  15: pushed   15; [ 15 14 11 8 7 6 5 4 ]
  16: pushed   16; [ 16 15 14 11 8 7 6 5 4 ]
  17: pushed   17; [ 17 16 15 14 11 8 7 6 5 4 ]
  18: pushed   18; [ 18 17 16 15 14 11 8 7 6 5 4 ]
  19: pushed   19; [ 19 18 17 16 15 14 11 8 7 6 5 4 ]
  20: pushed   20; [ 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  21: pushed   21; [ 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  22: pushed   22; [ 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  23: pushed   23; [ 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  24: pushed   24; [ 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  25: pushed   25; [ 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  26: pushed   26; [ 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  27: pushed   27; [ 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  28: pushed   28; [ 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  29: pushed   29; [ 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  30: pushed   30; [ 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  31: pushed   31; [ 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  32: pushed   32; [ 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 4 ]
  33: popped    4; [ 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 ]
  34: pushed   34; [ 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 5 ]
  35: popped    5; [ 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 ]
  36: pushed   36; [ 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 ]
  37: pushed   37; [ 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 ]
  38: pushed   38; [ 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 ]
  39: pushed   39; [ 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 ]
  40: pushed   40; [ 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 6 ]
  41: popped    6; [ 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  42: pushed   42; [ 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  43: pushed   43; [ 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  44: pushed   44; [ 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  45: pushed   45; [ 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  46: pushed   46; [ 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  47: pushed   47; [ 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  48: pushed   48; [ 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  49: pushed   49; [ 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  50: pushed   50; [ 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  51: pushed   51; [ 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  52: pushed   52; [ 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  53: pushed   53; [ 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
